profile,threads,iterations_per_thread,total_ops,work,mode,run,exit_code,wall_seconds,max_rss_kb,user_seconds,sys_seconds,target_elapsed_ns,bench_status,generated,consumed,dropped,loss_ppm,trace_integrity,stream_gaps,tainted_streams,total_violations
sync_heavy,4,100000,400000,0,monitor,1,0,0.23,1792,0.46,0.38,230414868,PASS,1200008,1200008,0,0,COMPLETE,0,0,0
sync_heavy,4,100000,400000,0,monitor,2,0,0.25,1792,0.52,0.37,246312128,PASS,1200008,1199826,182,151,DEGRADED,4,1,0
sync_heavy,4,100000,400000,0,baseline,2,0,0.03,1792,0.03,0.05,28918336,PASS,,,,,,,,
sync_heavy,4,100000,400000,0,baseline,3,0,0.03,1920,0.05,0.03,28731493,PASS,,,,,,,,
sync_heavy,4,100000,400000,0,monitor,3,0,0.24,1792,0.46,0.39,237478685,PASS,1200008,1191519,8489,7074,DEGRADED,8,3,0
sync_heavy,4,100000,400000,0,monitor,4,0,0.23,1792,0.46,0.36,228877945,PASS,1200008,1195261,4747,3955,DEGRADED,2,2,0
sync_heavy,4,100000,400000,0,baseline,4,0,0.03,1664,0.02,0.05,28686347,PASS,,,,,,,,
sync_heavy,4,100000,400000,0,baseline,5,0,0.02,1664,0.04,0.03,26947387,PASS,,,,,,,,
sync_heavy,4,100000,400000,0,monitor,5,0,0.24,1792,0.5,0.37,238575168,PASS,1200008,1196959,3049,2540,DEGRADED,4,1,0
sync_heavy,4,100000,400000,0,monitor,6,0,0.23,1792,0.51,0.33,233257782,PASS,1200008,1200008,0,0,COMPLETE,0,0,0
sync_heavy,4,100000,400000,0,baseline,6,0,0.02,1792,0.04,0.02,26723172,PASS,,,,,,,,
sync_heavy,4,100000,400000,0,baseline,7,0,0.03,1792,0.04,0.03,28959133,PASS,,,,,,,,
sync_heavy,4,100000,400000,0,monitor,7,0,0.24,1792,0.43,0.43,242167827,PASS,1200008,1192308,7700,6416,DEGRADED,8,3,0
sync_heavy,4,100000,400000,0,monitor,8,0,0.24,1792,0.48,0.4,240746431,PASS,1200008,1196453,3555,2962,DEGRADED,2,2,0
sync_heavy,4,100000,400000,0,baseline,8,0,0.02,1792,0.03,0.03,26521346,PASS,,,,,,,,
sync_heavy,4,100000,400000,0,baseline,9,0,0.02,1792,0.04,0.03,26758635,PASS,,,,,,,,
sync_heavy,4,100000,400000,0,monitor,9,0,0.24,1792,0.49,0.38,243235400,PASS,1200008,1200008,0,0,COMPLETE,0,0,0
sync_heavy,4,100000,400000,0,monitor,10,0,0.23,1792,0.41,0.39,226757814,PASS,1200008,1184177,15831,13192,DEGRADED,11,3,0
sync_heavy,4,100000,400000,0,baseline,10,0,0.03,1664,0.04,0.03,28717786,PASS,,,,,,,,
sync_heavy,8,50000,400000,0,baseline,1,0,0.03,1920,0.05,0.13,35797932,PASS,,,,,,,,
sync_heavy,8,50000,400000,0,monitor,1,0,0.28,1920,0.71,0.88,273814009,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
sync_heavy,8,50000,400000,0,monitor,2,0,0.28,1920,0.76,0.83,278549207,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
sync_heavy,8,50000,400000,0,baseline,2,0,0.03,1792,0.06,0.1,34641634,PASS,,,,,,,,
sync_heavy,8,50000,400000,0,baseline,3,0,0.04,1792,0.03,0.16,36422675,PASS,,,,,,,,
sync_heavy,8,50000,400000,0,monitor,3,0,0.27,1920,0.62,0.95,272112919,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
sync_heavy,8,50000,400000,0,monitor,4,0,0.27,1920,0.65,0.9,269057098,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
sync_heavy,8,50000,400000,0,baseline,4,0,0.03,1792,0.03,0.14,33692349,PASS,,,,,,,,
sync_heavy,8,50000,400000,0,baseline,5,0,0.04,1792,0.05,0.15,37389504,PASS,,,,,,,,
sync_heavy,8,50000,400000,0,monitor,5,0,0.27,1920,0.64,0.91,266775256,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
sync_heavy,8,50000,400000,0,monitor,6,0,0.26,1920,0.62,0.91,260979009,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
